step,rank,reward,group,rollout,valid,msg,file
00,1,2.074164709188749,3,34,true,"ok",step00_group03_rollout034.txt
00,2,1.8000000000000003,1,60,true,"ok",step00_group01_rollout060.txt
00,3,1.3000000000000003,2,49,true,"ok",step00_group02_rollout049.txt
01,1,1.8000000000000003,1,14,true,"ok",step01_group01_rollout014.txt
01,2,1.8000000000000003,1,15,true,"ok",step01_group01_rollout015.txt
01,3,1.7333333333333334,4,37,true,"ok",step01_group04_rollout037.txt
02,1,2.0,1,59,true,"ok",step02_group01_rollout059.txt
02,2,1.954945333515407,6,34,true,"ok",step02_group06_rollout034.txt
02,3,1.9000000000000004,0,54,true,"ok",step02_group00_rollout054.txt
03,1,2.166666666666667,7,29,true,"ok",step03_group07_rollout029.txt
03,2,2.08,3,17,true,"ok",step03_group03_rollout017.txt
03,3,2.08,3,22,true,"ok",step03_group03_rollout022.txt
04,1,2.166666666666667,0,13,true,"ok",step04_group00_rollout013.txt
04,2,2.166666666666667,0,19,true,"ok",step04_group00_rollout019.txt
04,3,2.166666666666667,0,20,true,"ok",step04_group00_rollout020.txt
05,1,2.166666666666667,0,5,true,"ok",step05_group00_rollout005.txt
05,2,2.166666666666667,0,6,true,"ok",step05_group00_rollout006.txt
05,3,2.166666666666667,0,7,true,"ok",step05_group00_rollout007.txt
06,1,2.344639161775073,7,5,true,"ok",step06_group07_rollout005.txt
06,2,2.166666666666667,0,0,true,"ok",step06_group00_rollout000.txt
06,3,2.166666666666667,0,3,true,"ok",step06_group00_rollout003.txt
07,1,2.344639161775073,0,1,true,"ok",step07_group00_rollout001.txt
07,2,2.344639161775073,0,7,true,"ok",step07_group00_rollout007.txt
07,3,2.344639161775073,0,8,true,"ok",step07_group00_rollout008.txt
08,1,2.344639161775073,0,0,true,"ok",step08_group00_rollout000.txt
08,2,2.344639161775073,0,10,true,"ok",step08_group00_rollout010.txt
08,3,2.344639161775073,0,11,true,"ok",step08_group00_rollout011.txt
09,1,2.344639161775073,0,0,true,"ok",step09_group00_rollout000.txt
09,2,2.344639161775073,0,1,true,"ok",step09_group00_rollout001.txt
09,3,2.344639161775073,0,3,true,"ok",step09_group00_rollout003.txt
10,1,2.344639161775073,0,2,true,"ok",step10_group00_rollout002.txt
10,2,2.344639161775073,0,3,true,"ok",step10_group00_rollout003.txt
10,3,2.344639161775073,0,8,true,"ok",step10_group00_rollout008.txt
11,1,2.344639161775073,0,0,true,"ok",step11_group00_rollout000.txt
11,2,2.344639161775073,0,1,true,"ok",step11_group00_rollout001.txt
11,3,2.344639161775073,0,4,true,"ok",step11_group00_rollout004.txt
12,1,2.344639161775073,0,0,true,"ok",step12_group00_rollout000.txt
12,2,2.344639161775073,0,1,true,"ok",step12_group00_rollout001.txt
12,3,2.344639161775073,0,3,true,"ok",step12_group00_rollout003.txt
13,1,2.3447877296013773,2,41,true,"ok",step13_group02_rollout041.txt
13,2,2.344639161775073,0,0,true,"ok",step13_group00_rollout000.txt
13,3,2.344639161775073,0,2,true,"ok",step13_group00_rollout002.txt
14,1,2.3447877296013773,0,0,true,"ok",step14_group00_rollout000.txt
14,2,2.3447877296013773,0,1,true,"ok",step14_group00_rollout001.txt
14,3,2.3447877296013773,0,2,true,"ok",step14_group00_rollout002.txt
15,1,2.3720882408679866,0,13,true,"ok",step15_group00_rollout013.txt
15,2,2.3720882408679866,1,51,true,"ok",step15_group01_rollout051.txt
15,3,2.3447877296013773,0,1,true,"ok",step15_group00_rollout001.txt
16,1,2.3720882408679866,0,1,true,"ok",step16_group00_rollout001.txt
16,2,2.3720882408679866,0,2,true,"ok",step16_group00_rollout002.txt
16,3,2.3720882408679866,0,3,true,"ok",step16_group00_rollout003.txt
17,1,2.3720882408679866,0,0,true,"ok",step17_group00_rollout000.txt
17,2,2.3720882408679866,0,1,true,"ok",step17_group00_rollout001.txt
17,3,2.3720882408679866,0,3,true,"ok",step17_group00_rollout003.txt
18,1,2.3720882408679866,0,1,true,"ok",step18_group00_rollout001.txt
18,2,2.3720882408679866,0,3,true,"ok",step18_group00_rollout003.txt
18,3,2.3720882408679866,0,4,true,"ok",step18_group00_rollout004.txt
19,1,2.3720882408679866,0,0,true,"ok",step19_group00_rollout000.txt
19,2,2.3720882408679866,0,2,true,"ok",step19_group00_rollout002.txt
19,3,2.3720882408679866,0,3,true,"ok",step19_group00_rollout003.txt
20,1,2.3720882408679866,0,0,true,"ok",step20_group00_rollout000.txt
20,2,2.3720882408679866,0,1,true,"ok",step20_group00_rollout001.txt
20,3,2.3720882408679866,0,2,true,"ok",step20_group00_rollout002.txt
21,1,2.3720882408679866,0,0,true,"ok",step21_group00_rollout000.txt
21,2,2.3720882408679866,0,1,true,"ok",step21_group00_rollout001.txt
21,3,2.3720882408679866,0,2,true,"ok",step21_group00_rollout002.txt
