step,rank,reward,group,rollout,valid,msg,file
00,1,2.2,1,18,true,"ok",/work/mohammad/TTT-local/runs/n26_target2.6360_steps3_g8x64_lr4e-05_T1.0_klc0.1_model-Qwen_Qwen3-8B_20260601-201215/step00/group01_rollout018.txt
00,2,2.08,6,0,true,"ok",/work/mohammad/TTT-local/runs/n26_target2.6360_steps3_g8x64_lr4e-05_T1.0_klc0.1_model-Qwen_Qwen3-8B_20260601-201215/step00/group06_rollout000.txt
00,3,1.9499999999992281,0,9,true,"ok",/work/mohammad/TTT-local/runs/n26_target2.6360_steps3_g8x64_lr4e-05_T1.0_klc0.1_model-Qwen_Qwen3-8B_20260601-201215/step00/group00_rollout009.txt
01,1,2.556302385975026,3,61,true,"ok",/work/mohammad/TTT-local/runs/n26_target2.6360_steps3_g8x64_lr4e-05_T1.0_klc0.1_model-Qwen_Qwen3-8B_20260601-201215/step01/group03_rollout061.txt
01,2,2.400000000000001,2,44,true,"ok",/work/mohammad/TTT-local/runs/n26_target2.6360_steps3_g8x64_lr4e-05_T1.0_klc0.1_model-Qwen_Qwen3-8B_20260601-201215/step01/group02_rollout044.txt
01,3,2.2,0,44,true,"ok",/work/mohammad/TTT-local/runs/n26_target2.6360_steps3_g8x64_lr4e-05_T1.0_klc0.1_model-Qwen_Qwen3-8B_20260601-201215/step01/group00_rollout044.txt
02,1,2.6180682559626187,0,16,true,"ok",/work/mohammad/TTT-local/runs/n26_target2.6360_steps3_g8x64_lr4e-05_T1.0_klc0.1_model-Qwen_Qwen3-8B_20260601-201215/step02/group00_rollout016.txt
02,2,2.6180682558741193,0,40,true,"ok",/work/mohammad/TTT-local/runs/n26_target2.6360_steps3_g8x64_lr4e-05_T1.0_klc0.1_model-Qwen_Qwen3-8B_20260601-201215/step02/group00_rollout040.txt
02,3,2.6170483580192183,0,34,true,"ok",/work/mohammad/TTT-local/runs/n26_target2.6360_steps3_g8x64_lr4e-05_T1.0_klc0.1_model-Qwen_Qwen3-8B_20260601-201215/step02/group00_rollout034.txt
