step,rank,reward,group,rollout,valid,msg,file
00,1,2.603212450735002,6,47,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_target2.6360_steps10_g8x64_lr4e-05_T1.0_klc0.1_model-Qwen_Qwen3-8B_20260603-184024/step00_group06_rollout047.txt
00,2,0.52,6,56,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_target2.6360_steps10_g8x64_lr4e-05_T1.0_klc0.1_model-Qwen_Qwen3-8B_20260603-184024/step00_group06_rollout056.txt
00,3,0.26,0,25,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_target2.6360_steps10_g8x64_lr4e-05_T1.0_klc0.1_model-Qwen_Qwen3-8B_20260603-184024/step00_group00_rollout025.txt
01,1,2.619586183844713,0,49,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_target2.6360_steps10_g8x64_lr4e-05_T1.0_klc0.1_model-Qwen_Qwen3-8B_20260603-184024/step01_group00_rollout049.txt
01,2,2.61219771240149,0,41,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_target2.6360_steps10_g8x64_lr4e-05_T1.0_klc0.1_model-Qwen_Qwen3-8B_20260603-184024/step01_group00_rollout041.txt
01,3,2.611406019482308,0,28,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_target2.6360_steps10_g8x64_lr4e-05_T1.0_klc0.1_model-Qwen_Qwen3-8B_20260603-184024/step01_group00_rollout028.txt
02,1,2.6255768288051233,1,12,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_target2.6360_steps10_g8x64_lr4e-05_T1.0_klc0.1_model-Qwen_Qwen3-8B_20260603-184024/step02_group01_rollout012.txt
02,2,2.622084916507914,1,2,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_target2.6360_steps10_g8x64_lr4e-05_T1.0_klc0.1_model-Qwen_Qwen3-8B_20260603-184024/step02_group01_rollout002.txt
02,3,2.6210063111330815,0,42,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_target2.6360_steps10_g8x64_lr4e-05_T1.0_klc0.1_model-Qwen_Qwen3-8B_20260603-184024/step02_group00_rollout042.txt
03,1,2.6279138200757255,1,46,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_target2.6360_steps10_g8x64_lr4e-05_T1.0_klc0.1_model-Qwen_Qwen3-8B_20260603-184024/step03_group01_rollout046.txt
03,2,2.627322625935731,2,28,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_target2.6360_steps10_g8x64_lr4e-05_T1.0_klc0.1_model-Qwen_Qwen3-8B_20260603-184024/step03_group02_rollout028.txt
03,3,2.6240488941398215,1,51,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_target2.6360_steps10_g8x64_lr4e-05_T1.0_klc0.1_model-Qwen_Qwen3-8B_20260603-184024/step03_group01_rollout051.txt
04,1,2.631093589098119,4,2,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_target2.6360_steps10_g8x64_lr4e-05_T1.0_klc0.1_model-Qwen_Qwen3-8B_20260603-184024/step04_group04_rollout002.txt
04,2,2.6282124181496993,4,47,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_target2.6360_steps10_g8x64_lr4e-05_T1.0_klc0.1_model-Qwen_Qwen3-8B_20260603-184024/step04_group04_rollout047.txt
