step,rank,reward,group,rollout,valid,msg,file
00,1,2.551805405197651,2,36,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step00/step00_group02_rollout036.txt
00,2,1.854542857142857,6,43,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step00/step00_group06_rollout043.txt
00,3,1.3000000000000003,7,51,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step00/step00_group07_rollout051.txt
01,1,2.622144904471914,0,36,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step01/step01_group00_rollout036.txt
01,2,2.6165756447228885,0,53,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step01/step01_group00_rollout053.txt
01,3,2.614259846364466,0,1,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step01/step01_group00_rollout001.txt
02,1,2.622177282868072,0,58,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step02/step02_group00_rollout058.txt
02,2,2.622145221503329,0,59,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step02/step02_group00_rollout059.txt
02,3,2.6210076936255473,1,54,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step02/step02_group01_rollout054.txt
03,1,2.6270835277602997,2,30,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step03/step03_group02_rollout030.txt
03,2,2.625338207152255,2,23,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step03/step03_group02_rollout023.txt
03,3,2.623052600369454,2,21,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step03/step03_group02_rollout021.txt
04,1,2.6297131376596883,7,8,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step04/step04_group07_rollout008.txt
04,2,2.6290759707186075,5,28,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step04/step04_group05_rollout028.txt
04,3,2.6284189136893485,1,37,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step04/step04_group01_rollout037.txt
05,1,2.631334137554158,0,33,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step05/step05_group00_rollout033.txt
05,2,2.63107796985997,3,25,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step05/step05_group03_rollout025.txt
05,3,2.6310779685753896,2,13,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step05/step05_group02_rollout013.txt
06,1,2.633019595706763,6,28,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step06/step06_group06_rollout028.txt
06,2,2.6313341923021363,2,24,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step06/step06_group02_rollout024.txt
06,3,2.631334188602859,2,41,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step06/step06_group02_rollout041.txt
07,1,2.631334365159044,5,57,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step07/step07_group05_rollout057.txt
07,2,2.631334192927723,5,40,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step07/step07_group05_rollout040.txt
07,3,2.6313341923021363,4,15,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step07/step07_group04_rollout015.txt
08,1,2.6313496673383434,3,17,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step08/step08_group03_rollout017.txt
08,2,2.631334199278026,5,37,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step08/step08_group05_rollout037.txt
08,3,2.631334192927723,5,0,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step08/step08_group05_rollout000.txt
09,1,2.6340630825581934,6,17,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step09/step09_group06_rollout017.txt
09,2,2.6310779581656796,5,27,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step09/step09_group05_rollout027.txt
09,3,2.6310779580047807,4,27,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step09/step09_group04_rollout027.txt
10,1,2.6323260072585617,7,18,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step10/step10_group07_rollout018.txt
10,2,2.6323260072585617,7,52,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step10/step10_group07_rollout052.txt
10,3,2.6313341923025657,3,44,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step10/step10_group03_rollout044.txt
11,1,2.632326026503453,0,45,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step11/step11_group00_rollout045.txt
11,2,2.6323260072585617,0,0,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step11/step11_group00_rollout000.txt
11,3,2.6323260072585617,0,1,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step11/step11_group00_rollout001.txt
12,1,2.635312776568061,0,37,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step12/step12_group00_rollout037.txt
12,2,2.635312776568061,1,25,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step12/step12_group01_rollout025.txt
12,3,2.6342767677789882,6,37,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step12/step12_group06_rollout037.txt
13,1,2.6359674489314338,0,3,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step13/step13_group00_rollout003.txt
13,2,2.635312776718689,1,55,true,"ok",/work/mohammad/TTT-local/runs/circle_packing_n26_Qwen3-8B_0608-2252/step13/step13_group01_rollout055.txt
